1girl,"1girls,sole_female"
solo,"female_solo,solo_female"
highres,"high_res,high_resolution,hires"
long_hair,longhair
commentary_request,
breasts,"boobs,breast,breats,oppai,tits"
looking_at_viewer,pov_eye_contact
blush,"blushing,flush,flushed"
smile,":),:},smiling"
short_hair,"short-hair,shorthair"
open_mouth,mouth_open
bangs,
blue_eyes,"blueeyes,light_blue_eyes"
multiple_girls,
skirt,
blonde_hair,"blond,blond_hair,blonde,blondehair,gold_hair,yellow_hair"
large_breasts,"big_breasts,large_boobs,large_breast,large_tits"
brown_hair,"brown-hair,brownhair,brunette,chocolate_hair"
simple_background,
shirt,"shirt_only,shirts"
black_hair,"black-hair,blackhair,dark_hair"
hair_ornament,"hair_accessories,hair_accessory,hair_decs,hair_ornaments"
absurdres,"insaneres,very_high_resolution"
red_eyes,"red_eye,redeyes"
thighhighs,"naked_thighhighs,nude_thighhighs,stocking,stockings,thigh_highs,thighhgihs,thighhigh,thighhighs_only,thighhigs,thighighs"
hat,
gloves,glove
1boy,"1boys,sole_male"
bad_id,bad_skeb_id
long_sleeves,long_sleeve
white_background,
dress,
original,original_character
ribbon,ribbons
bow,bows
touhou,toho
navel,"belly_button,bellybutton"
bad_pixiv_id,
2girls,"2_girls,2girl"
photoshop_(medium),
holding,"hold,holding_object"
animal_ears,kemonomimi
cleavage,"clevage,overboob"
hair_between_eyes,bangs_between_eyes
bare_shoulders,"bare_shoulder,bareshoulders"
commentary,commentaries
brown_eyes,"browneyes,light_brown_eyes"
twintails,"twin_tails,twintaiks,twintail"
medium_breasts,
jewelry,"jewelery,jewellery"
sitting,"sit,sitting_down"
very_long_hair,hair_past_waist
underwear,"shitagi,undergarments"
closed_mouth,
nipples,nipple
school_uniform,"school_girl,school_uniforms,schoolgirl,seifuku"
green_eyes,"green-eyes,greeneyes"
blue_hair,bluehair
standing,
purple_eyes,"light_purple_eyes,purpleeyes,violet_eyes"
collarbone,"clavicle,clavicles,collarbones"
panties,"pantie,pantsu,panty"
monochrome,"monochome,monochorme,monochromatic"
tail,"animal_tail,animal_tails,shippo,tails"
jacket,
translated,"translatied,translation"
swimsuit,"bathing_suit,mizugi,swim_suit,swimsuits"
full_body,
closed_eyes,eyes_closed
hair_ribbon,"hair_ribbons,ribbon_in_hair,ribbons_in_hair"
kantai_collection,"kancolle,kankore"
yellow_eyes,"amber_eyes,gold_eyes,golden_eyes,hazel_eyes,hazeleyes,yelloweyes"
weapon,weapons
ponytail,"long_ponytail,pony_tail"
upper_body,bust
purple_hair,"lavender_hair,purple-hair,purplehair,violet_hair"
white_shirt,white_blouse
pink_hair,"magenta_hair,pinkhair"
ass,"butt,butt_cheeks,buttocks,oshiri,rearend"
comic,"comics,manga"
braid,"braided_hair,braids,hair_braid"
flower,flowers
ahoge,
:d,
short_sleeves,
hair_bow,"hair_bows,hairbow"
greyscale,"b&w,black_and_white,grayscale"
hetero,
white_hair,whitehair
male_focus,"male,male_only,man,men"
heart,"<3,hearts"
pantyhose,"panty_hose,tights"
bikini,
sidelocks,"forelocks,payot"
thighs,thigh
nude,naked
red_hair,"red_head,redhair,redhead"
cowboy_shot,
pleated_skirt,
sweat,sweating
hairband,hair_band
multicolored_hair,multicolor_hair
translation_request,"translate_request,translation_requested,translationrequest"
earrings,"aqua_earrings,black_earrings,blue_earrings,brown_earrings,ear_ring,ear_rings,earring,green_earrings,grey_earrings,pink_earrings,purple_earrings,red_earrings,white_earrings,yellow_earrings"
small_breasts,
grey_hair,gray_hair
boots,"boot,naked_boots"
lying,"laying,laying_down,lying_down"
censored,"censor,censoring"
outdoors,"outdoor,outside"
frills,"frill,frilled,frilly,ruffles"
parted_lips,
detached_sleeves,"armsleeves,detached_sleeve,naked_sleeves"
one_eye_closed,wink
food,
japanese_clothes,"japanese_clothing,traditional_japanese_clothes,wafuku"
multiple_boys,
green_hair,greenhair
wings,wing
open_clothes,open_clothing
sky,
necktie,"neck_tie,tie"
horns,
penis,"cock,cocks,dick,dicks"
shoes,shoe
fate_(series),
glasses,"megane,meganekko,meganeko"
shorts,short_pants
barefoot,"bare_feet,bare_foot,barefeet"
serafuku,sailor_fuku
pussy,"manko,vagina,vulva"
teeth,bared_teeth
solo_focus,
sleeveless,no_sleeves
day,
alternate_costume,"alternate_outfit,alternate_outfit,alternative_costume"
choker,
tongue,tongues
pointy_ears,"elf_ears,elven_ears,long_ears,pointed_ears,pointy-ears,pointy_ear"
socks,"leghighs,naked_socks,sock"
black_gloves,black_glove
elbow_gloves,"long_gloves,opera_gloves"
hairclip,"barrette,hair_clip,hair_clips,hairclips"
fang,
midriff,
striped,stripes
puffy_sleeves,puffy_shoulders
shiny,
looking_back,"looking_over_shoulder,turning"
belt,belts
sword,swords
collared_shirt,collared_blouse
pants,"long_pants,trousers"
official_art,
artist_name,
cloud,clouds
black_thighhighs,
indoors,
tears,tear
cat_ears,"catears,nekomimi"
fate/grand_order,fgo
white_gloves,white_glove
